[11/Apr/2022 02:57:47] INFO [django.utils.autoreload:677] Watching for file changes with StatReloader
[11/Apr/2022 02:57:47] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[11/Apr/2022 02:57:47] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[11/Apr/2022 02:57:47] DEBUG [django.utils.autoreload:296] Watching dir /Users/erichmond_33/github/modifiedDibels/dibels_test/templates with glob **/*.
[11/Apr/2022 02:57:47] DEBUG [django.utils.autoreload:296] Watching dir /Users/erichmond_33/github/modifiedDibels/locale with glob **/*.mo.
[11/Apr/2022 02:57:47] DEBUG [django.utils.autoreload:296] Watching dir /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/whitenoise/runserver_nostatic/locale with glob **/*.mo.
[11/Apr/2022 02:57:47] DEBUG [django.utils.autoreload:296] Watching dir /Users/erichmond_33/github/modifiedDibels/dibels_test/locale with glob **/*.mo.
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/core/memmap.py first seen with mtime 1639175002.3231118
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/importlib/_common.py first seen with mtime 1620062243.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/layers/tuplify.py first seen with mtime 1639175004.2685585
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/__init__.py first seen with mtime 1639175002.2811613
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Library/Frameworks/Python.framework/Versions/3.9/lib/python3.9/bisect.py first seen with mtime 1620062241.0
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/thinc/backends/_custom_kernels.py first seen with mtime 1639175004.2556806
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/markupsafe/_speedups.cpython-39-darwin.so first seen with mtime 1639175004.0663314
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/utils/safestring.py first seen with mtime 1647540508.0998719
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/pydantic/decorator.cpython-39-darwin.so first seen with mtime 1639175003.9837399
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/spacy/tokens/underscore.py first seen with mtime 1639177569.7768738
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/django/template/loaders/base.py first seen with mtime 1647540508.0909412
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/numpy/compat/py3k.py first seen with mtime 1639175002.3003726
[11/Apr/2022 02:57:48] DEBUG [django.utils.autoreload:394] File /Users/erichmond_33/.virtualenvs/research/lib/python3.9/site-packages/sqlparse/cli.py first seen with mtime 1638393492.1726835
